# name: RollerCoasterDataExperienceFULL635
# source: RollerCoasterDataExperienceFULL635.csv
# importDate: 2020-06-09T13:04:50.052Z
# attribute -- name: Coaster, description: Name of the roller coaster, type: categorical, precision: 2, editable: true
# attribute -- name: Park, description: Name of the park where the roller coaster is located, type: categorical, precision: 2, editable: true
# attribute -- name: City, description: City where the roller coaster is located, type: categorical, precision: 2, editable: true
# attribute -- name: State, description: State where the roller coaster is located, type: categorical, precision: 2, editable: true
# attribute -- name: Year Opened, description: Year when roller coaster opened, type: date, precision: year, editable: true
# attribute -- name: TopSpeed, description: Maximum speed of roller coaster, type: numeric, unit: mph, precision: 2, editable: true
# attribute -- name: MaxHeight, description: Highest point of roller coaster, type: numeric, unit: ft, precision: 2, editable: true
# attribute -- name: Duration, description: Time length of roller coaster ride, type: numeric, unit: s, precision: 2, editable: true
# attribute -- name: Type, description: Material of track (Steel or Wooden), type: categorical, precision: 2, editable: true
# attribute -- name: Length, description: Length of roller coaster track, type: numeric, unit: ft, precision: 2, editable: true
# attribute -- name: Drop, description: Length of largest gap between high and low points of roller coaster, type: numeric, unit: ft, precision: 2, editable: true
# attribute -- name: # of Inversions, description: Number of times roller coaster flips passengers, type: numeric, precision: 2, editable: true
Coaster,Park,City,State,Year Opened,TopSpeed,MaxHeight,Duration,Type,Length,Drop,# of Inversions
Whizzer,Six Flags Great America,Gurnee,Illinois,1976,42,70,120,Steel,3100,64,0
Raging Bull,Six Flags Great America,Gurnee,Illinois,1999,73,202,150,Steel,5057,208,0
American Eagle,Six Flags Great America,Gurnee,Illinois,1981,66,127,143,Wood,4650,147,0
Demon,Six Flags Great America,Gurnee,Illinois,1980,50,103.7,105,Steel,2130,90,4
Viper,Six Flags Great America,Gurnee,Illinois,1995,50,100,105,Wood,3458,80,0
Batman The Ride,Six Flags Great America,Gurnee,Illinois,1992,50,100,120,Steel,2700,84.5,5
Sprocket Rockets,Six Flags Great America,Gurnee,Illinois,1998,21.7,27.9,44,Steel,679.2,20,0
Python Pit,Go Bananas,Norridge,Illinois,1997,15.7,11.5,,Steel,300,10,0
Miner Mike,Haunted Trails,Burbank,Illinois,1994,8,8,20,Steel,,4,0
Maxx Force,Six Flags Great America,Gurnee,Illinois,2019,78,175,23,Steel,1800,172,5
Goliath,Six Flags Great America,Gurnee,Illinois,2014,72,165,117,Wood,3100,180,2
Vertical Velocity,Six Flags Great America,Gurnee,Illinois,2001,70,185,45,Steel,630,160,0
Dark Knight,Six Flags Great America,Gurnee,Illinois,2008,55,117.8,120,Steel,1213,45,0
Superman - Ultimate Flight,Six Flags Great America,Gurnee,Illinois,2003,51,106,180,Steel,2798,100,2
Joker,Six Flags Great America,Gurnee,Illinois,2017,38,120,60,Steel,1019,54,0
Super Cyclone,Santa's Village AZoosment Park,Dundee,Illinois,2017,30,32.8,80,Steel,1148.3,,0
Orient Express,Grady's Family Fun Park,Bloomington,Illinois,2019,10,11,344,Steel,280,8,0
Wacky Worm,Santa's Village AZoosment Park,Dundee,Illinois,2015,10,13,30,Steel,444,12,0
Little Dipper,Six Flags Great America,Gurnee,Illinois,2010,25,28,50,Wood,700,20,0
Tiger Terror,Safari Land,Villa Park,Illinois,2002,,22,45,Steel,,20,0
Barnyard Dance,Bengtson's Pumpkin Farm,Homer Glen,Illinois,2017,,14,,Steel,190,,0
Hoosier Hurricane,Indiana Beach,Monticello,Indiana,1994,51,77,136,Wood,2891,98,0
Raven,Holiday World,Santa Claus,Indiana,1995,48,80,90,Wood,2800,85,0
Tig'rr Coaster,Indiana Beach,Monticello,Indiana,1984,31.1,44.3,,Steel,1765.1,,0
Howler,Holiday World,Santa Claus,Indiana,1999,,13,25,Steel,262.5,8,0
Voyage,Holiday World,Santa Claus,Indiana,2006,67,159,165,Wood,6442,154,0
Thunderbird,Holiday World,Santa Claus,Indiana,2015,60,140,78,Steel,3035,130,4
Legend,Holiday World,Santa Claus,Indiana,2000,59,99,120,Wood,4042,113,0
Cornball Express,Indiana Beach,Monticello,Indiana,2001,45,55,93,Wood,2100,78,0
Steel Hawg,Indiana Beach,Monticello,Indiana,2008,41,96,75,Steel,1276,,2
Lost Coaster of Superstition Mountain,Indiana Beach,Monticello,Indiana,2002,20,35,141,Wood,1400,35,0
Kombo,Indianapolis Zoo,Indianapolis,Indiana,2001,19.9,19.7,,Steel,652.9,,0
Miner Mike,Harvest Tyme Pumpkin Patch,Lowell,Indiana,2014,8,8,20,Steel,,4,0
Tornado,Adventureland,Altoona,Iowa,1978,58,93,120,Wood,2840,76,0
Legend,Arnolds Park,Arnolds Park,Iowa,1930,50,63,72,Wood,2000,63,0
Outlaw,Adventureland,Altoona,Iowa,1993,48,70,120,Wood,2800,67,0
Underground,Adventureland,Altoona,Iowa,1996,,13,144,Wood,911,,0
Monster,Adventureland,Altoona,Iowa,2016,65,133,120,Steel,2500,128,5
Phoenix,Adventureland,Altoona,Iowa,2019,37.3,50.9,,Steel,1410.8,72,0
Little Coaster,Arnolds Park,Arnolds Park,Iowa,2002,7,12,50,Steel,280,6,0
Genesis Kidz Koaster,Modern Woodmen Park,Davenport,Iowa,2017,,14,,Steel,190,,0
Dragon Coaster,All Star Adventures,Wichita,Kansas,2006,8,9,45,Steel,,,0
Corkscrew,Michigan's Adventure,Muskegon,Michigan,1979,45,70,90,Steel,1250,65,2
Shivering Timbers,Michigan's Adventure,Muskegon,Michigan,1998,57,122,150,Wood,5383,125,0
Mad Mouse,Michigan's Adventure,Muskegon,Michigan,1999,35,68,90,Steel,1268,30,0
Thunderhawk,Michigan's Adventure,Muskegon,Michigan,2008,49.7,109.3,96,Steel,2260.5,86,5
Orient Express,Arzo Sports & Fun Park,Alpena,Michigan,2015,10,11,284,Steel,280,8,0
Python Pit,Jeepers,Sterling Heights,Michigan,2016,10,13,,Steel,300,13,0
Little Dipper,Cedar Valley's Wild Frontier Fun Park,Comins,Michigan,2017,7,12,50,Steel,280,6,0
Serpent,Kokomo's Family Fun Center,Saginaw,Michigan,2009,30,45,110,Steel,1919,40,0
Loop Roller Coaster,CJ Barrymore's Family Entertainment Center,Clinton Township,Michigan,2016,,36.1,59,Steel,1197.5,31.8,1
Spinning Coaster,CJ Barrymore's Family Entertainment Center,Clinton Township,Michigan,2019,,17,108,Steel,190,6,0
Cruiser Coaster,Craig's Cruisers Family Fun Center,Wyoming,Michigan,2018,,14,,Steel,190,,0
High Roller,Valleyfair!,Shakopee,Minnesota,1976,50,70,105,Wood,2982,56,0
Wild Thing,Valleyfair!,Shakopee,Minnesota,1996,74,207,180,Steel,5460,196,0
Excalibur,Valleyfair!,Shakopee,Minnesota,1989,54.5,100,137,Steel,2415,105,0
Corkscrew,Valleyfair!,Shakopee,Minnesota,1980,50,85,90,Steel,1950,65,3
Pepsi Orange Streak,Nickelodeon Universe,Bloomington,Minnesota,1992,30,60,150,Steel,2680,40,0
Mad Mouse,Valleyfair!,Shakopee,Minnesota,1999,30,50,90,Steel,1257,30,0
