# name: RollerCoasterDataExperienceFULL635
# source: RollerCoasterDataExperienceFULL635.csv
# importDate: 2020-06-09T13:04:50.052Z
# attribute -- name: Coaster, description: Name of the roller coaster, type: categorical, precision: 2, editable: true
# attribute -- name: Park, description: Name of the park where the roller coaster is located, type: categorical, precision: 2, editable: true
# attribute -- name: City, description: City where the roller coaster is located, type: categorical, precision: 2, editable: true
# attribute -- name: State, description: State where the roller coaster is located, type: categorical, precision: 2, editable: true
# attribute -- name: Year Opened, description: Year when roller coaster opened, type: numeric, editable: true
# attribute -- name: TopSpeed, description: Maximum speed of roller coaster, type: numeric, unit: mph, precision: 2, editable: true
# attribute -- name: MaxHeight, description: Highest point of roller coaster, type: numeric, unit: ft, precision: 2, editable: true
# attribute -- name: Duration, description: Time length of roller coaster ride, type: numeric, unit: s, precision: 2, editable: true
# attribute -- name: Type, description: Material of track (Steel or Wooden), type: categorical, precision: 2, editable: true
# attribute -- name: Length, description: Length of roller coaster track, type: numeric, unit: ft, precision: 2, editable: true
# attribute -- name: Drop, description: Length of largest gap between high and low points of roller coaster, type: numeric, unit: ft, precision: 2, editable: true
# attribute -- name: # of Inversions, description: Number of times roller coaster flips passengers, type: numeric, precision: 2, editable: true
Coaster,Park,City,State,Year Opened,TopSpeed,MaxHeight,Duration,Type,Length,Drop,# of Inversions
Wildcat,Lake Compounce,Bristol,Connecticut,1927,48,85,75,Wood,2746,78,0
Little Dipper,Quassy Amusement Park,Middlebury,Connecticut,1952,7,12,50,Steel,280,6,0
Kiddie Coaster,Lake Compounce,Bristol,Connecticut,1997,,18,73,Steel,300,10,0
Phobia Phear Coaster,Lake Compounce,Bristol,Connecticut,2016,62,150,,Steel,863,135,1
Boulder Dash,Lake Compounce,Bristol,Connecticut,2000,60,110,150,Wood,4725,115,0
Excalibur,Funtown Splashtown U.S.A.,Saco,Maine,1998,55,100,118,Wood,2700,82,0
Sea Viper,Palace Playland,Old Orchard Beach,Maine,2018,41.1,68.8,,Steel,1509.2,,0
Wild Mouse,Funtown Splashtown U.S.A.,Saco,Maine,2009,28,49.3,70,Steel,1213.9,25,0
Orient Express,Palace Playland,Old Orchard Beach,Maine,2000,10,11,164,Steel,280,8,0
Wacky Mouse,York's Wild Kingdom,York Beach,Maine,2010,,16,82,Steel,,,0
Thunderbolt,Six Flags New England,Agawam,Massachusetts,1941,40,70,60,Wood,2600,70,0
Riddler Revenge,Six Flags New England,Agawam,Massachusetts,1997,49.7,109.3,96,Steel,2260.5,86,5
Great Chase,Six Flags New England,Agawam,Massachusetts,1996,12,16,25,Steel,337,13,0
