SITE_NO,LOCATION,YEAR,VARIABLE,VALUE,UNIT_UNITE,SITE_NAME,SITE_NOM_FR,SITE_TYPE,SITE_DESC,SITE_DESC_FR,LATITUDE,LONGITUDE,DATUM,PROV_TERR,PEARSEDA,PEARSEDA_FR,OCEANDA,OCEANDA_FR,DATA_URL,DATA_URL_FR,COLOR
NW10OB0003,arctic,2000,PH,7.9825,PH UNITS,HORNADAY RIVER BELOW UNNAMED EASTERN TRIBUTARY,RIVIÈRE HORNADAY EN AVAL DUN TRIBUTAIRE À LEST NON-IDENTIFIÉ ,RIVER/RIVIÈRE,,,68.7542,-122.4022,NAD27,NT,ARCTIC COAST-ISLANDS,CÔTE ARCTIQUE-DES ÎLES,ARCTIC,ARCTIQUE,,,gray
AL05AK0001,south_saskatchewan,2000,TEMPERATURE WATER,14.788235294117648,DEG C,SOUTH SASKATCHEWAN RIVER AT HWY 41,RIVIÈRE SASKATCHEWAN SUD À L'AUT. 41,RIVER/RIVIÈRE,,,50.7375,-110.0956,NAD27,AB,SOUTH SASKATCHEWAN,SASKATCHEWAN SUD,HUDSON BAY,BAIE D'HUDSON,,,green
AL05AK0001,south_saskatchewan,2000,SULPHATE DISSOLVED,66.1,MG/L,SOUTH SASKATCHEWAN RIVER AT HWY 41,RIVIÈRE SASKATCHEWAN SUD À L'AUT. 41,RIVER/RIVIÈRE,,,50.7375,-110.0956,NAD27,AB,SOUTH SASKATCHEWAN,SASKATCHEWAN SUD,HUDSON BAY,BAIE D'HUDSON,,,green
AL05AK0001,south_saskatchewan,2000,PHOSPHORUS TOTAL DISSOLVED,0.006083333333333333,MG/L,SOUTH SASKATCHEWAN RIVER AT HWY 41,RIVIÈRE SASKATCHEWAN SUD À L'AUT. 41,RIVER/RIVIÈRE,,,50.7375,-110.0956,NAD27,AB,SOUTH SASKATCHEWAN,SASKATCHEWAN SUD,HUDSON BAY,BAIE D'HUDSON,,,green
AL05AK0001,south_saskatchewan,2000,PH,8.289333333333333,PH UNITS,SOUTH SASKATCHEWAN RIVER AT HWY 41,RIVIÈRE SASKATCHEWAN SUD À L'AUT. 41,RIVER/RIVIÈRE,,,50.7375,-110.0956,NAD27,AB,SOUTH SASKATCHEWAN,SASKATCHEWAN SUD,HUDSON BAY,BAIE D'HUDSON,,,green
AL05AK0001,south_saskatchewan,2000,OXYGEN DISSOLVED,10.728823529411764,MG/L,SOUTH SASKATCHEWAN RIVER AT HWY 41,RIVIÈRE SASKATCHEWAN SUD À L'AUT. 41,RIVER/RIVIÈRE,,,50.7375,-110.0956,NAD27,AB,SOUTH SASKATCHEWAN,SASKATCHEWAN SUD,HUDSON BAY,BAIE D'HUDSON,,,green
BC08NE0001,columbia,2000,PH,7.7525490196078435,PH UNITS,COLUMBIA RIVER AT WANETA,FLEUVE COLUMBIA À WANETA,RIVER/RIVIÈRE,,,49.0161,-117.6039,NAD83,BC,COLUMBIA,COLUMBIA,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0001/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0001/Projects/PYLTM/Regions/0?new_lang=fr,red
BC08NE0001,columbia,2000,PHOSPHORUS TOTAL DISSOLVED,0.0041730769230769234,MG/L,COLUMBIA RIVER AT WANETA,FLEUVE COLUMBIA À WANETA,RIVER/RIVIÈRE,,,49.0161,-117.6039,NAD83,BC,COLUMBIA,COLUMBIA,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0001/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0001/Projects/PYLTM/Regions/0?new_lang=fr,red
BC08NE0001,columbia,2000,SULPHATE DISSOLVED,10.47764705882353,MG/L,COLUMBIA RIVER AT WANETA,FLEUVE COLUMBIA À WANETA,RIVER/RIVIÈRE,,,49.0161,-117.6039,NAD83,BC,COLUMBIA,COLUMBIA,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0001/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0001/Projects/PYLTM/Regions/0?new_lang=fr,red
BC08NE0001,columbia,2000,TEMPERATURE WATER,10.254901960784315,DEG C,COLUMBIA RIVER AT WANETA,FLEUVE COLUMBIA À WANETA,RIVER/RIVIÈRE,,,49.0161,-117.6039,NAD83,BC,COLUMBIA,COLUMBIA,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0001/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0001/Projects/PYLTM/Regions/0?new_lang=fr,red
NW10VK0001,arctic,2000,SULPHATE DISSOLVED,9.9,MG/L,RUGGLES RIVER AT LAKE HAZEN,RIVIÈRE RUGGLES AU LAC HAZEN,RIVER/RIVIÈRE,,,81.79416,-70.44221,NAD27,NU,ARCTIC COAST-ISLANDS,CÔTE ARCTIQUE-DES ÎLES,ARCTIC,ARCTIQUE,,,orange
MA05OC0001,assiniboine,2000,PH,7.936,PH UNITS,RED RIVER AT EMERSON,RIVIÈRE ROUGE À EMERSON,RIVER/RIVIÈRE,,,49.0081,-97.2108,NAD27,MB,ASSINIBOINERED,ASSINIBOINEROUGE,HUDSON BAY,BAIE D'HUDSON,,,purple
BC08NE0005,columbia,2000,PH,7.825769230769231,PH UNITS,COLUMBIA RIVER AT BIRCHBANK,FLEUVE COLUMBIA À BIRCHBANK,RIVER/RIVIÈRE,,,49.1769,-117.7175,NAD83,BC,COLUMBIA,COLUMBIA,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0005/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0005/Projects/PYLTM/Regions/0?new_lang=fr,red
BC08NE0005,columbia,2000,PHOSPHORUS TOTAL DISSOLVED,0.0032692307692307695,MG/L,COLUMBIA RIVER AT BIRCHBANK,FLEUVE COLUMBIA À BIRCHBANK,RIVER/RIVIÈRE,,,49.1769,-117.7175,NAD83,BC,COLUMBIA,COLUMBIA,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0005/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0005/Projects/PYLTM/Regions/0?new_lang=fr,red
