ExportedOn
7/19/2022 2:51:06 PM

SampleClass,AgencyCode,StationNumber,RiverSubBasinCode,StationType,StationNameDescription,StationComment,LatititudeDecimalDegrees,LongitudeDecimalDegrees,SampleMatrixCodeDescription,TotalSampleCount,EarliestSample,PriorTo1970,During1970_79,During1980_89,During1990_99,During2000_2009,During2010_2019,MostRecentSampleDate,Inorganics_ions_physicals_nutrients_bacteria,Metals,Pesticides,Organics_No_Pesticides
A,211,AB05AA0010,05AA,0 (RIVER OR STREAM),OLDMAN RIVER AT THE HEADWATERS,,50.09167,-114.61111,0 (WATER),4,15-Jul-1980,0,0,4,0,0,0,01-Sep-1981,4,0,0,0
A,211,AB05AA0011,05AA,0 (RIVER OR STREAM),OLDMAN RIVER U/S LIVINGSTONE RIVER CONFLUENCE,u/s of bridge on Forestry Trunk Road,49.94936,-114.40497,91 (EPILITHIC),12,14-Aug-2008,0,0,0,0,3,9,19-Aug-2013,12,0,0,0
A,211,AB05AA0011,05AA,0 (RIVER OR STREAM),OLDMAN RIVER U/S LIVINGSTONE RIVER CONFLUENCE,u/s of bridge on Forestry Trunk Road,49.94936,-114.40497,0 (WATER),48,30-Apr-2008,0,0,0,0,12,36,06-Mar-2014,46,46,0,0
A,211,AB05AA0012,05AA,0 (RIVER OR STREAM),LIVINGSTONE RIVER U/S CONFLUENCE WITH OLDMAN RIVER,at bottom of narrow path from staging area,49.96672,-114.39856,91 (EPILITHIC),12,14-Aug-2008,0,0,0,0,3,9,19-Aug-2013,12,0,0,0
A,211,AB05AA0012,05AA,0 (RIVER OR STREAM),LIVINGSTONE RIVER U/S CONFLUENCE WITH OLDMAN RIVER,at bottom of narrow path from staging area,49.96672,-114.39856,0 (WATER),48,30-Apr-2008,0,0,0,0,12,36,06-Mar-2014,46,46,0,0
A,211,AB05AA0013,05AA,0 (RIVER OR STREAM),DUTCH CREEK U/S CONFLUENCE WITH OLDMAN RIVER,upstream of bridge on Forestry Trunk Road at campground,49.90303,-114.39367,91 (EPILITHIC),12,14-Aug-2008,0,0,0,0,3,9,19-Aug-2013,12,0,0,0
A,211,AB05AA0013,05AA,0 (RIVER OR STREAM),DUTCH CREEK U/S CONFLUENCE WITH OLDMAN RIVER,upstream of bridge on Forestry Trunk Road at campground,49.90303,-114.39367,0 (WATER),48,30-Apr-2008,0,0,0,0,12,36,06-Mar-2014,47,47,0,0
A,211,AB05AA0014,05AA,0 (RIVER OR STREAM),RACEHORSE CREEK U/S CONFLUENCE WITH OLDMAN RIVER,upstream of bridge on Forestry Trunk Road,49.86278,-114.38933,91 (EPILITHIC),12,14-Aug-2008,0,0,0,0,3,9,19-Aug-2013,12,0,0,0
A,211,AB05AA0014,05AA,0 (RIVER OR STREAM),RACEHORSE CREEK U/S CONFLUENCE WITH OLDMAN RIVER,upstream of bridge on Forestry Trunk Road,49.86278,-114.38933,0 (WATER),48,30-Apr-2008,0,0,0,0,12,36,06-Mar-2014,47,47,0,0
A,211,AB05AA0020,05AA,0 (RIVER OR STREAM),OLDMAN RIVER AT THE GAP BELOW CONFLUENCE OF VICARY AND LIVINGSTONE CREEK,,49.86667,-114.36667,0 (WATER),9,24-Oct-1974,0,9,0,0,0,0,18-Feb-1976,9,0,0,0
A,211,AB05AA0025,05AA,1 (LAKE),ISLAND LAKE NORTH (CROWSNEST PASS) COMPOSITE,on north side of Hwy 3,49.63011,-114.68514,0 (WATER),4,18-Jun-2019,0,0,0,0,0,4,17-Sep-2019,4,0,0,0
A,211,AB05AA0026,05AA,1 (LAKE),ISLAND LAKE NORTH (CROWSNEST PASS) PROFILE,on north side of Hwy 3,49.63011,-114.68514,97 (INVERTEBRATES),6,16-Jul-2019,0,0,0,0,0,6,21-Aug-2019,,,,
A,211,AB05AA0026,05AA,1 (LAKE),ISLAND LAKE NORTH (CROWSNEST PASS) PROFILE,on north side of Hwy 3,49.63011,-114.68514,0 (WATER),100,18-Jun-2019,0,0,0,0,0,100,17-Sep-2019,97,0,0,0
A,211,AB05AA0030,05AA,0 (RIVER OR STREAM),MAIN VICARY CREEK AT CROSSROAD,,49.75556,-114.50167,0 (WATER),2,30-Nov-1971,0,2,0,0,0,0,10-Sep-1973,2,0,0,0
A,211,AB05AA0035,05AA,0 (RIVER OR STREAM),BLAIRMORE CREEK 12KM U/S CONFLUENCE WITH CROWSNEST RIVER,u/s Grassy Mountain,49.71387,-114.46313,0 (WATER),4,02-Jun-2021,0,0,0,0,0,0,15-Sep-2021,4,4,0,4
A,211,AB05AA0040,05AA,0 (RIVER OR STREAM),OLDMAN RIVER BELOW CALLUM CREEK,,49.78667,-114.10417,0 (WATER),4,15-Jul-1980,0,0,4,0,0,0,01-Sep-1981,4,0,0,0
A,211,AB05AA0045,05AA,0 (RIVER OR STREAM),BLAIRMORE CREEK 1KM U/S CONFLUENCE WITH CROWSNEST RIVER,d/s Grassy Mountain,49.61920,-114.45740,0 (WATER),4,02-Jun-2021,0,0,0,0,0,0,14-Sep-2021,4,4,0,4
A,211,AB05AA0050,05AA,0 (RIVER OR STREAM),OLDMAN RIVER NEAR WALDONS CORNER,upstream of Hwy 22 bridge near picnic area,49.79859,-114.15216,0 (WATER),65,09-Apr-1984,0,0,37,28,0,0,01-Feb-1993,63,23,1,1
A,211,AB05AA0054,05AA,0 (RIVER OR STREAM),POND 3A TENT MOUNTAIN MINE,,49.58044,-114.71547,0 (WATER),1,08-Jul-2021,0,0,0,0,0,0,08-Jul-2021,1,1,0,1
A,211,AB05AA0055,05AA,0 (RIVER OR STREAM),CROWSNEST CREEK 0.5KM U/S CONFLUENCE WITH PTOLEMY CREEK,d/s Tent Mountain,49.60250,-114.68710,0 (WATER),5,03-Jun-2021,0,0,0,0,0,0,15-Sep-2021,4,4,0,5
