"REF_DATE","GEO","DGUID","School type","Program type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002/2003","Alberta","2016A000248","Total, school type","Total, program type","Number","223","units","0","v1001753242","10.1.1","554397","","","","0"
"2003/2004","Alberta","2016A000248","Total, school type","Total, program type","Number","223","units","0","v1001753242","10.1.1","552594","","","","0"
"2004/2005","Alberta","2016A000248","Total, school type","Total, program type","Number","223","units","0","v1001753242","10.1.1","550983","","","","0"
"2005/2006","Alberta","2016A000248","Total, school type","Total, program type","Number","223","units","0","v1001753242","10.1.1","551742","","","","0"
"2006/2007","Alberta","2016A000248","Total, school type","Total, program type","Number","223","units","0","v1001753242","10.1.1","599316","","","","0"
"2007/2008","Alberta","2016A000248","Total, school type","Total, program type","Number","223","units","0","v1001753242","10.1.1","598386","","","","0"
"2008/2009","Alberta","2016A000248","Total, school type","Total, program type","Number","223","units","0","v1001753242","10.1.1","602031","","","","0"
"2009/2010","Alberta","2016A000248","Total, school type","Total, program type","Number","223","units","0","v1001753242","10.1.1","605355","","","","0"
"2010/2011","Alberta","2016A000248","Total, school type","Total, program type","Number","223","units","0","v1001753242","10.1.1","610896","","","","0"
"2011/2012","Alberta","2016A000248","Total, school type","Total, program type","Number","223","units","0","v1001753242","10.1.1","607722","","","","0"
"2012/2013","Alberta","2016A000248","Total, school type","Total, program type","Number","223","units","0","v1001753242","10.1.1","626343","","","","0"
"2013/2014","Alberta","2016A000248","Total, school type","Total, program type","Number","223","units","0","v1001753242","10.1.1","645012","","","","0"
"2014/2015","Alberta","2016A000248","Total, school type","Total, program type","Number","223","units","0","v1001753242","10.1.1","664296","","","","0"
"2015/2016","Alberta","2016A000248","Total, school type","Total, program type","Number","223","units","0","v1001753242","10.1.1","678966","","","","0"
"2016/2017","Alberta","2016A000248","Total, school type","Total, program type","Number","223","units","0","v1001753242","10.1.1","692538","","","","0"
"2017/2018","Alberta","2016A000248","Total, school type","Total, program type","Number","223","units","0","v1001753242","10.1.1","707391","","","","0"
"2002/2003","Alberta","2016A000248","Total, school type","Regular programs for youth","Number","223","units","0","v1001753243","10.1.2","554397","","","","0"
"2003/2004","Alberta","2016A000248","Total, school type","Regular programs for youth","Number","223","units","0","v1001753243","10.1.2","552594","","","","0"
"2004/2005","Alberta","2016A000248","Total, school type","Regular programs for youth","Number","223","units","0","v1001753243","10.1.2","550983","","","","0"
"2005/2006","Alberta","2016A000248","Total, school type","Regular programs for youth","Number","223","units","0","v1001753243","10.1.2","551742","","","","0"
"2006/2007","Alberta","2016A000248","Total, school type","Regular programs for youth","Number","223","units","0","v1001753243","10.1.2","599316","","","","0"
"2007/2008","Alberta","2016A000248","Total, school type","Regular programs for youth","Number","223","units","0","v1001753243","10.1.2","598383","","","","0"
"2008/2009","Alberta","2016A000248","Total, school type","Regular programs for youth","Number","223","units","0","v1001753243","10.1.2","602028","","","","0"
"2009/2010","Alberta","2016A000248","Total, school type","Regular programs for youth","Number","223","units","0","v1001753243","10.1.2","605355","","","","0"
"2010/2011","Alberta","2016A000248","Total, school type","Regular programs for youth","Number","223","units","0","v1001753243","10.1.2","610896","","","","0"
"2011/2012","Alberta","2016A000248","Total, school type","Regular programs for youth","Number","223","units","0","v1001753243","10.1.2","607722","","","","0"
"2012/2013","Alberta","2016A000248","Total, school type","Regular programs for youth","Number","223","units","0","v1001753243","10.1.2","626343","","","","0"
"2013/2014","Alberta","2016A000248","Total, school type","Regular programs for youth","Number","223","units","0","v1001753243","10.1.2","645009","","","","0"
"2014/2015","Alberta","2016A000248","Total, school type","Regular programs for youth","Number","223","units","0","v1001753243","10.1.2","664299","","","","0"
"2015/2016","Alberta","2016A000248","Total, school type","Regular programs for youth","Number","223","units","0","v1001753243","10.1.2","678969","","","","0"
"2016/2017","Alberta","2016A000248","Total, school type","Regular programs for youth","Number","223","units","0","v1001753243","10.1.2","692538","","","","0"
