"REF_DATE","GEO","DGUID","School type","Program type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002/2003","British Columbia","2016A000259","Total, school type","Total, program type","Number","223","units","0","v1001753250","11.1.1","613227","","","","0"
"2003/2004","British Columbia","2016A000259","Total, school type","Total, program type","Number","223","units","0","v1001753250","11.1.1","605538","","","","0"
"2004/2005","British Columbia","2016A000259","Total, school type","Total, program type","Number","223","units","0","v1001753250","11.1.1","596166","","","","0"
"2005/2006","British Columbia","2016A000259","Total, school type","Total, program type","Number","223","units","0","v1001753250","11.1.1","589380","","","","0"
"2006/2007","British Columbia","2016A000259","Total, school type","Total, program type","Number","223","units","0","v1001753250","11.1.1","645033","","","","0"
"2007/2008","British Columbia","2016A000259","Total, school type","Total, program type","Number","223","units","0","v1001753250","11.1.1","637557","","","","0"
"2008/2009","British Columbia","2016A000259","Total, school type","Total, program type","Number","223","units","0","v1001753250","11.1.1","631644","","","","0"
"2009/2010","British Columbia","2016A000259","Total, school type","Total, program type","Number","223","units","0","v1001753250","11.1.1","628020","","","","0"
"2010/2011","British Columbia","2016A000259","Total, school type","Total, program type","Number","223","units","0","v1001753250","11.1.1","651609","","","","0"
"2011/2012","British Columbia","2016A000259","Total, school type","Total, program type","Number","223","units","0","v1001753250","11.1.1","643686","","","","0"
"2012/2013","British Columbia","2016A000259","Total, school type","Total, program type","Number","223","units","0","v1001753250","11.1.1","640899","","","","0"
"2013/2014","British Columbia","2016A000259","Total, school type","Total, program type","Number","223","units","0","v1001753250","11.1.1","637089","","","","0"
"2014/2015","British Columbia","2016A000259","Total, school type","Total, program type","Number","223","units","0","v1001753250","11.1.1","635643","","","","0"
"2015/2016","British Columbia","2016A000259","Total, school type","Total, program type","Number","223","units","0","v1001753250","11.1.1","637284","","","","0"
"2016/2017","British Columbia","2016A000259","Total, school type","Total, program type","Number","223","units","0","v1001753250","11.1.1","643410","","","","0"
"2017/2018","British Columbia","2016A000259","Total, school type","Total, program type","Number","223","units","0","v1001753250","11.1.1","650496","","","","0"
"2002/2003","British Columbia","2016A000259","Total, school type","Regular programs for youth","Number","223","units","0","v1001753251","11.1.2","595206","","","","0"
