"REF_DATE","GEO","DGUID","School type","Program type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002/2003","Manitoba","2016A000246","Total, school type","Total, program type","Number","223","units","0","v1001753222","8.1.1","186891","","","","0"
"2003/2004","Manitoba","2016A000246","Total, school type","Total, program type","Number","223","units","0","v1001753222","8.1.1","186285","","","","0"
"2004/2005","Manitoba","2016A000246","Total, school type","Total, program type","Number","223","units","0","v1001753222","8.1.1","184353","","","","0"
"2005/2006","Manitoba","2016A000246","Total, school type","Total, program type","Number","223","units","0","v1001753222","8.1.1","182373","","","","0"
"2006/2007","Manitoba","2016A000246","Total, school type","Total, program type","Number","223","units","0","v1001753222","8.1.1","193761","","","","0"
"2007/2008","Manitoba","2016A000246","Total, school type","Total, program type","Number","223","units","0","v1001753222","8.1.1","193332","","","","0"
"2008/2009","Manitoba","2016A000246","Total, school type","Total, program type","Number","223","units","0","v1001753222","8.1.1","192201","","","","0"
"2009/2010","Manitoba","2016A000246","Total, school type","Total, program type","Number","223","units","0","v1001753222","8.1.1","192381","","","","0"
"2010/2011","Manitoba","2016A000246","Total, school type","Total, program type","Number","223","units","0","v1001753222","8.1.1","192711","","","","0"
"2011/2012","Manitoba","2016A000246","Total, school type","Total, program type","Number","223","units","0","v1001753222","8.1.1","194148","","","","0"
"2012/2013","Manitoba","2016A000246","Total, school type","Total, program type","Number","223","units","0","v1001753222","8.1.1","195171","","","","0"
"2013/2014","Manitoba","2016A000246","Total, school type","Total, program type","Number","223","units","0","v1001753222","8.1.1","195432","","","","0"
"2014/2015","Manitoba","2016A000246","Total, school type","Total, program type","Number","223","units","0","v1001753222","8.1.1","196341","","","","0"
"2015/2016","Manitoba","2016A000246","Total, school type","Total, program type","Number","223","units","0","v1001753222","8.1.1","198132","","","","0"
"2016/2017","Manitoba","2016A000246","Total, school type","Total, program type","Number","223","units","0","v1001753222","8.1.1","200226","","","","0"
"2017/2018","Manitoba","2016A000246","Total, school type","Total, program type","Number","223","units","0","v1001753222","8.1.1","202545","","","","0"
"2002/2003","Manitoba","2016A000246","Total, school type","Regular programs for youth","Number","223","units","0","v1001753223","8.1.2","186891","","","","0"
"2003/2004","Manitoba","2016A000246","Total, school type","Regular programs for youth","Number","223","units","0","v1001753223","8.1.2","186288","","","","0"
"2004/2005","Manitoba","2016A000246","Total, school type","Regular programs for youth","Number","223","units","0","v1001753223","8.1.2","184353","","","","0"
"2005/2006","Manitoba","2016A000246","Total, school type","Regular programs for youth","Number","223","units","0","v1001753223","8.1.2","182370","","","","0"
"2006/2007","Manitoba","2016A000246","Total, school type","Regular programs for youth","Number","223","units","0","v1001753223","8.1.2","193764","","","","0"
"2007/2008","Manitoba","2016A000246","Total, school type","Regular programs for youth","Number","223","units","0","v1001753223","8.1.2","193335","","","","0"
"2008/2009","Manitoba","2016A000246","Total, school type","Regular programs for youth","Number","223","units","0","v1001753223","8.1.2","192201","","","","0"
"2009/2010","Manitoba","2016A000246","Total, school type","Regular programs for youth","Number","223","units","0","v1001753223","8.1.2","192381","","","","0"
"2010/2011","Manitoba","2016A000246","Total, school type","Regular programs for youth","Number","223","units","0","v1001753223","8.1.2","192711","","","","0"
"2011/2012","Manitoba","2016A000246","Total, school type","Regular programs for youth","Number","223","units","0","v1001753223","8.1.2","194148","","","","0"
"2012/2013","Manitoba","2016A000246","Total, school type","Regular programs for youth","Number","223","units","0","v1001753223","8.1.2","195171","","","","0"
