"REF_DATE","GEO","DGUID","School type","Program type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002/2003","New Brunswick","2016A000213","Total, school type","Total, program type","Number","223","units","0","v1001753192","5.1.1","120600","","","","0"
"2003/2004","New Brunswick","2016A000213","Total, school type","Total, program type","Number","223","units","0","v1001753192","5.1.1","118869","","","","0"
"2004/2005","New Brunswick","2016A000213","Total, school type","Total, program type","Number","223","units","0","v1001753192","5.1.1","117147","","","","0"
"2005/2006","New Brunswick","2016A000213","Total, school type","Total, program type","Number","223","units","0","v1001753192","5.1.1","114819","","","","0"
"2006/2007","New Brunswick","2016A000213","Total, school type","Total, program type","Number","223","units","0","v1001753192","5.1.1","112524","","","","0"
"2007/2008","New Brunswick","2016A000213","Total, school type","Total, program type","Number","223","units","0","v1001753192","5.1.1","111630","","","","0"
"2008/2009","New Brunswick","2016A000213","Total, school type","Total, program type","Number","223","units","0","v1001753192","5.1.1","109722","","","","0"
"2009/2010","New Brunswick","2016A000213","Total, school type","Total, program type","Number","223","units","0","v1001753192","5.1.1","107718","","","","0"
"2010/2011","New Brunswick","2016A000213","Total, school type","Total, program type","Number","223","units","0","v1001753192","5.1.1","105723","","","","0"
"2011/2012","New Brunswick","2016A000213","Total, school type","Total, program type","Number","223","units","0","v1001753192","5.1.1","104007","","","","0"
"2012/2013","New Brunswick","2016A000213","Total, school type","Total, program type","Number","223","units","0","v1001753192","5.1.1","102459","","","","0"
"2013/2014","New Brunswick","2016A000213","Total, school type","Total, program type","Number","223","units","0","v1001753192","5.1.1","101364","","","","0"
"2014/2015","New Brunswick","2016A000213","Total, school type","Total, program type","Number","223","units","0","v1001753192","5.1.1","100362","","","","0"
"2015/2016","New Brunswick","2016A000213","Total, school type","Total, program type","Number","223","units","0","v1001753192","5.1.1","99726","","","","0"
"2016/2017","New Brunswick","2016A000213","Total, school type","Total, program type","Number","223","units","0","v1001753192","5.1.1","99738","","","","0"
"2017/2018","New Brunswick","2016A000213","Total, school type","Total, program type","Number","223","units","0","v1001753192","5.1.1","99774","","","","0"
"2002/2003","New Brunswick","2016A000213","Total, school type","Regular programs for youth","Number","223","units","0","v1001753193","5.1.2","120600","","","","0"
"2003/2004","New Brunswick","2016A000213","Total, school type","Regular programs for youth","Number","223","units","0","v1001753193","5.1.2","118869","","","","0"
"2004/2005","New Brunswick","2016A000213","Total, school type","Regular programs for youth","Number","223","units","0","v1001753193","5.1.2","117144","","","","0"
"2005/2006","New Brunswick","2016A000213","Total, school type","Regular programs for youth","Number","223","units","0","v1001753193","5.1.2","114819","","","","0"
"2006/2007","New Brunswick","2016A000213","Total, school type","Regular programs for youth","Number","223","units","0","v1001753193","5.1.2","112524","","","","0"
"2007/2008","New Brunswick","2016A000213","Total, school type","Regular programs for youth","Number","223","units","0","v1001753193","5.1.2","111633","","","","0"
"2008/2009","New Brunswick","2016A000213","Total, school type","Regular programs for youth","Number","223","units","0","v1001753193","5.1.2","109719","","","","0"
"2009/2010","New Brunswick","2016A000213","Total, school type","Regular programs for youth","Number","223","units","0","v1001753193","5.1.2","107718","","","","0"
"2010/2011","New Brunswick","2016A000213","Total, school type","Regular programs for youth","Number","223","units","0","v1001753193","5.1.2","105726","","","","0"
"2011/2012","New Brunswick","2016A000213","Total, school type","Regular programs for youth","Number","223","units","0","v1001753193","5.1.2","104007","","","","0"
"2012/2013","New Brunswick","2016A000213","Total, school type","Regular programs for youth","Number","223","units","0","v1001753193","5.1.2","102459","","","","0"
"2013/2014","New Brunswick","2016A000213","Total, school type","Regular programs for youth","Number","223","units","0","v1001753193","5.1.2","101364","","","","0"
"2014/2015","New Brunswick","2016A000213","Total, school type","Regular programs for youth","Number","223","units","0","v1001753193","5.1.2","100362","","","","0"
"2015/2016","New Brunswick","2016A000213","Total, school type","Regular programs for youth","Number","223","units","0","v1001753193","5.1.2","99729","","","","0"
"2016/2017","New Brunswick","2016A000213","Total, school type","Regular programs for youth","Number","223","units","0","v1001753193","5.1.2","99738","","","","0"
"2017/2018","New Brunswick","2016A000213","Total, school type","Regular programs for youth","Number","223","units","0","v1001753193","5.1.2","99774","","","","0"
"2002/2003","New Brunswick","2016A000213","Total, school type","General programs for adults","Number","223","units","0","v1077009320","5.1.3","0","","","","0"
"2003/2004","New Brunswick","2016A000213","Total, school type","General programs for adults","Number","223","units","0","v1077009320","5.1.3","0","","","","0"
"2004/2005","New Brunswick","2016A000213","Total, school type","General programs for adults","Number","223","units","0","v1077009320","5.1.3","0","","","","0"
"2005/2006","New Brunswick","2016A000213","Total, school type","General programs for adults","Number","223","units","0","v1077009320","5.1.3","0","","","","0"
"2006/2007","New Brunswick","2016A000213","Total, school type","General programs for adults","Number","223","units","0","v1077009320","5.1.3","0","","","","0"
"2007/2008","New Brunswick","2016A000213","Total, school type","General programs for adults","Number","223","units","0","v1077009320","5.1.3","0","","","","0"
"2008/2009","New Brunswick","2016A000213","Total, school type","General programs for adults","Number","223","units","0","v1077009320","5.1.3","0","","","","0"
"2009/2010","New Brunswick","2016A000213","Total, school type","General programs for adults","Number","223","units","0","v1077009320","5.1.3","0","","","","0"
"2010/2011","New Brunswick","2016A000213","Total, school type","General programs for adults","Number","223","units","0","v1077009320","5.1.3","","..","","","0"
"2011/2012","New Brunswick","2016A000213","Total, school type","General programs for adults","Number","223","units","0","v1077009320","5.1.3","","..","","","0"
"2012/2013","New Brunswick","2016A000213","Total, school type","General programs for adults","Number","223","units","0","v1077009320","5.1.3","","..","","","0"
"2013/2014","New Brunswick","2016A000213","Total, school type","General programs for adults","Number","223","units","0","v1077009320","5.1.3","","..","","","0"
"2014/2015","New Brunswick","2016A000213","Total, school type","General programs for adults","Number","223","units","0","v1077009320","5.1.3","","..","","","0"
"2015/2016","New Brunswick","2016A000213","Total, school type","General programs for adults","Number","223","units","0","v1077009320","5.1.3","","..","","","0"
"2016/2017","New Brunswick","2016A000213","Total, school type","General programs for adults","Number","223","units","0","v1077009320","5.1.3","","..","","","0"
"2017/2018","New Brunswick","2016A000213","Total, school type","General programs for adults","Number","223","units","0","v1077009320","5.1.3","","..","","","0"
"2002/2003","New Brunswick","2016A000213","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009321","5.1.4","0","","","","0"
"2003/2004","New Brunswick","2016A000213","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009321","5.1.4","0","","","","0"
"2004/2005","New Brunswick","2016A000213","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009321","5.1.4","0","","","","0"
"2005/2006","New Brunswick","2016A000213","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009321","5.1.4","0","","","","0"
"2006/2007","New Brunswick","2016A000213","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009321","5.1.4","0","","","","0"
