"REF_DATE","GEO","DGUID","School type","Program type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002/2003","Newfoundland and Labrador","2016A000210","Total, school type","Total, program type","Number","223","units","0","v1001753168","2.1.1","84336","","","","0"
"2003/2004","Newfoundland and Labrador","2016A000210","Total, school type","Total, program type","Number","223","units","0","v1001753168","2.1.1","81510","","","","0"
"2004/2005","Newfoundland and Labrador","2016A000210","Total, school type","Total, program type","Number","223","units","0","v1001753168","2.1.1","79482","","","","0"
"2005/2006","Newfoundland and Labrador","2016A000210","Total, school type","Total, program type","Number","223","units","0","v1001753168","2.1.1","76806","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Total, school type","Total, program type","Number","223","units","0","v1001753168","2.1.1","75180","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Total, school type","Total, program type","Number","223","units","0","v1001753168","2.1.1","72933","","","","0"
"2008/2009","Newfoundland and Labrador","2016A000210","Total, school type","Total, program type","Number","223","units","0","v1001753168","2.1.1","71493","","","","0"
"2009/2010","Newfoundland and Labrador","2016A000210","Total, school type","Total, program type","Number","223","units","0","v1001753168","2.1.1","70398","","","","0"
"2010/2011","Newfoundland and Labrador","2016A000210","Total, school type","Total, program type","Number","223","units","0","v1001753168","2.1.1","69600","","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","Total, school type","Total, program type","Number","223","units","0","v1001753168","2.1.1","68688","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Total, school type","Total, program type","Number","223","units","0","v1001753168","2.1.1","68313","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Total, school type","Total, program type","Number","223","units","0","v1001753168","2.1.1","68403","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Total, school type","Total, program type","Number","223","units","0","v1001753168","2.1.1","68250","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Total, school type","Total, program type","Number","223","units","0","v1001753168","2.1.1","67764","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Total, school type","Total, program type","Number","223","units","0","v1001753168","2.1.1","67329","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Total, school type","Total, program type","Number","223","units","0","v1001753168","2.1.1","66477","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","Total, school type","Regular programs for youth","Number","223","units","0","v1001753169","2.1.2","84336","","","","0"
"2003/2004","Newfoundland and Labrador","2016A000210","Total, school type","Regular programs for youth","Number","223","units","0","v1001753169","2.1.2","81510","","","","0"
"2004/2005","Newfoundland and Labrador","2016A000210","Total, school type","Regular programs for youth","Number","223","units","0","v1001753169","2.1.2","79485","","","","0"
"2005/2006","Newfoundland and Labrador","2016A000210","Total, school type","Regular programs for youth","Number","223","units","0","v1001753169","2.1.2","76806","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Total, school type","Regular programs for youth","Number","223","units","0","v1001753169","2.1.2","75177","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Total, school type","Regular programs for youth","Number","223","units","0","v1001753169","2.1.2","72933","","","","0"
"2008/2009","Newfoundland and Labrador","2016A000210","Total, school type","Regular programs for youth","Number","223","units","0","v1001753169","2.1.2","71493","","","","0"
"2009/2010","Newfoundland and Labrador","2016A000210","Total, school type","Regular programs for youth","Number","223","units","0","v1001753169","2.1.2","70398","","","","0"
"2010/2011","Newfoundland and Labrador","2016A000210","Total, school type","Regular programs for youth","Number","223","units","0","v1001753169","2.1.2","69600","","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","Total, school type","Regular programs for youth","Number","223","units","0","v1001753169","2.1.2","68688","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Total, school type","Regular programs for youth","Number","223","units","0","v1001753169","2.1.2","68310","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Total, school type","Regular programs for youth","Number","223","units","0","v1001753169","2.1.2","68406","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Total, school type","Regular programs for youth","Number","223","units","0","v1001753169","2.1.2","68250","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Total, school type","Regular programs for youth","Number","223","units","0","v1001753169","2.1.2","67767","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Total, school type","Regular programs for youth","Number","223","units","0","v1001753169","2.1.2","67329","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Total, school type","Regular programs for youth","Number","223","units","0","v1001753169","2.1.2","66480","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","Total, school type","General programs for adults","Number","223","units","0","v1077009296","2.1.3","0","","","","0"
"2003/2004","Newfoundland and Labrador","2016A000210","Total, school type","General programs for adults","Number","223","units","0","v1077009296","2.1.3","0","","","","0"
"2004/2005","Newfoundland and Labrador","2016A000210","Total, school type","General programs for adults","Number","223","units","0","v1077009296","2.1.3","0","","","","0"
"2005/2006","Newfoundland and Labrador","2016A000210","Total, school type","General programs for adults","Number","223","units","0","v1077009296","2.1.3","0","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Total, school type","General programs for adults","Number","223","units","0","v1077009296","2.1.3","0","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Total, school type","General programs for adults","Number","223","units","0","v1077009296","2.1.3","0","","","","0"
"2008/2009","Newfoundland and Labrador","2016A000210","Total, school type","General programs for adults","Number","223","units","0","v1077009296","2.1.3","0","","","","0"
"2009/2010","Newfoundland and Labrador","2016A000210","Total, school type","General programs for adults","Number","223","units","0","v1077009296","2.1.3","0","","","","0"
"2010/2011","Newfoundland and Labrador","2016A000210","Total, school type","General programs for adults","Number","223","units","0","v1077009296","2.1.3","","..","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","Total, school type","General programs for adults","Number","223","units","0","v1077009296","2.1.3","","..","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Total, school type","General programs for adults","Number","223","units","0","v1077009296","2.1.3","","..","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Total, school type","General programs for adults","Number","223","units","0","v1077009296","2.1.3","","..","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Total, school type","General programs for adults","Number","223","units","0","v1077009296","2.1.3","","..","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Total, school type","General programs for adults","Number","223","units","0","v1077009296","2.1.3","","..","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Total, school type","General programs for adults","Number","223","units","0","v1077009296","2.1.3","","..","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Total, school type","General programs for adults","Number","223","units","0","v1077009296","2.1.3","","..","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009297","2.1.4","0","","","","0"
"2003/2004","Newfoundland and Labrador","2016A000210","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009297","2.1.4","0","","","","0"
"2004/2005","Newfoundland and Labrador","2016A000210","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009297","2.1.4","0","","","","0"
"2005/2006","Newfoundland and Labrador","2016A000210","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009297","2.1.4","0","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009297","2.1.4","0","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009297","2.1.4","0","","","","0"
"2008/2009","Newfoundland and Labrador","2016A000210","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009297","2.1.4","0","","","","0"
"2009/2010","Newfoundland and Labrador","2016A000210","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009297","2.1.4","0","","","","0"
"2010/2011","Newfoundland and Labrador","2016A000210","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009297","2.1.4","","..","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009297","2.1.4","","..","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009297","2.1.4","","..","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009297","2.1.4","","..","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009297","2.1.4","","..","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009297","2.1.4","","..","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009297","2.1.4","","..","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009297","2.1.4","","..","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","Public schools","Total, program type","Number","223","units","0","v1001753170","2.2.1","84339","","","","0"
"2003/2004","Newfoundland and Labrador","2016A000210","Public schools","Total, program type","Number","223","units","0","v1001753170","2.2.1","81510","","","","0"
"2004/2005","Newfoundland and Labrador","2016A000210","Public schools","Total, program type","Number","223","units","0","v1001753170","2.2.1","79482","","","","0"
"2005/2006","Newfoundland and Labrador","2016A000210","Public schools","Total, program type","Number","223","units","0","v1001753170","2.2.1","76806","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Public schools","Total, program type","Number","223","units","0","v1001753170","2.2.1","74343","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Public schools","Total, program type","Number","223","units","0","v1001753170","2.2.1","72108","","","","0"
"2008/2009","Newfoundland and Labrador","2016A000210","Public schools","Total, program type","Number","223","units","0","v1001753170","2.2.1","70641","","","","0"
"2009/2010","Newfoundland and Labrador","2016A000210","Public schools","Total, program type","Number","223","units","0","v1001753170","2.2.1","69663","","","","0"
"2010/2011","Newfoundland and Labrador","2016A000210","Public schools","Total, program type","Number","223","units","0","v1001753170","2.2.1","68655","","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","Public schools","Total, program type","Number","223","units","0","v1001753170","2.2.1","67827","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Public schools","Total, program type","Number","223","units","0","v1001753170","2.2.1","67479","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Public schools","Total, program type","Number","223","units","0","v1001753170","2.2.1","67293","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Public schools","Total, program type","Number","223","units","0","v1001753170","2.2.1","67167","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Public schools","Total, program type","Number","223","units","0","v1001753170","2.2.1","66654","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Public schools","Total, program type","Number","223","units","0","v1001753170","2.2.1","66183","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Public schools","Total, program type","Number","223","units","0","v1001753170","2.2.1","65286","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","Public schools","Regular programs for youth","Number","223","units","0","v1001753171","2.2.2","84336","","","","0"
"2003/2004","Newfoundland and Labrador","2016A000210","Public schools","Regular programs for youth","Number","223","units","0","v1001753171","2.2.2","81510","","","","0"
"2004/2005","Newfoundland and Labrador","2016A000210","Public schools","Regular programs for youth","Number","223","units","0","v1001753171","2.2.2","79485","","","","0"
