"REF_DATE","GEO","DGUID","School type","Program type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002/2003","Nova Scotia","2016A000212","Total, school type","Total, program type","Number","223","units","0","v1001753184","4.1.1","150600","","","","0"
"2003/2004","Nova Scotia","2016A000212","Total, school type","Total, program type","Number","223","units","0","v1001753184","4.1.1","148515","","","","0"
"2004/2005","Nova Scotia","2016A000212","Total, school type","Total, program type","Number","223","units","0","v1001753184","4.1.1","145395","","","","0"
"2005/2006","Nova Scotia","2016A000212","Total, school type","Total, program type","Number","223","units","0","v1001753184","4.1.1","142305","","","","0"
"2006/2007","Nova Scotia","2016A000212","Total, school type","Total, program type","Number","223","units","0","v1001753184","4.1.1","142725","","","","0"
"2007/2008","Nova Scotia","2016A000212","Total, school type","Total, program type","Number","223","units","0","v1001753184","4.1.1","139428","","","","0"
"2008/2009","Nova Scotia","2016A000212","Total, school type","Total, program type","Number","223","units","0","v1001753184","4.1.1","137151","","","","0"
"2009/2010","Nova Scotia","2016A000212","Total, school type","Total, program type","Number","223","units","0","v1001753184","4.1.1","134544","","","","0"
"2010/2011","Nova Scotia","2016A000212","Total, school type","Total, program type","Number","223","units","0","v1001753184","4.1.1","132423","","","","0"
"2011/2012","Nova Scotia","2016A000212","Total, school type","Total, program type","Number","223","units","0","v1001753184","4.1.1","129774","","","","0"
"2012/2013","Nova Scotia","2016A000212","Total, school type","Total, program type","Number","223","units","0","v1001753184","4.1.1","126981","","","","0"
"2013/2014","Nova Scotia","2016A000212","Total, school type","Total, program type","Number","223","units","0","v1001753184","4.1.1","125463","","","","0"
"2014/2015","Nova Scotia","2016A000212","Total, school type","Total, program type","Number","223","units","0","v1001753184","4.1.1","123999","","","","0"
"2015/2016","Nova Scotia","2016A000212","Total, school type","Total, program type","Number","223","units","0","v1001753184","4.1.1","122799","","","","0"
"2016/2017","Nova Scotia","2016A000212","Total, school type","Total, program type","Number","223","units","0","v1001753184","4.1.1","123120","","","","0"
"2017/2018","Nova Scotia","2016A000212","Total, school type","Total, program type","Number","223","units","0","v1001753184","4.1.1","123990","","","","0"
"2002/2003","Nova Scotia","2016A000212","Total, school type","Regular programs for youth","Number","223","units","0","v1001753185","4.1.2","150309","","","","0"
"2003/2004","Nova Scotia","2016A000212","Total, school type","Regular programs for youth","Number","223","units","0","v1001753185","4.1.2","148206","","","","0"
"2004/2005","Nova Scotia","2016A000212","Total, school type","Regular programs for youth","Number","223","units","0","v1001753185","4.1.2","145044","","","","0"
"2005/2006","Nova Scotia","2016A000212","Total, school type","Regular programs for youth","Number","223","units","0","v1001753185","4.1.2","141966","","","","0"
"2006/2007","Nova Scotia","2016A000212","Total, school type","Regular programs for youth","Number","223","units","0","v1001753185","4.1.2","142359","","","","0"
"2007/2008","Nova Scotia","2016A000212","Total, school type","Regular programs for youth","Number","223","units","0","v1001753185","4.1.2","139089","","","","0"
"2008/2009","Nova Scotia","2016A000212","Total, school type","Regular programs for youth","Number","223","units","0","v1001753185","4.1.2","136842","","","","0"
"2009/2010","Nova Scotia","2016A000212","Total, school type","Regular programs for youth","Number","223","units","0","v1001753185","4.1.2","134232","","","","0"
"2010/2011","Nova Scotia","2016A000212","Total, school type","Regular programs for youth","Number","223","units","0","v1001753185","4.1.2","132423","","","","0"
"2011/2012","Nova Scotia","2016A000212","Total, school type","Regular programs for youth","Number","223","units","0","v1001753185","4.1.2","129774","","","","0"
"2012/2013","Nova Scotia","2016A000212","Total, school type","Regular programs for youth","Number","223","units","0","v1001753185","4.1.2","126981","","","","0"
"2013/2014","Nova Scotia","2016A000212","Total, school type","Regular programs for youth","Number","223","units","0","v1001753185","4.1.2","125463","","","","0"
"2014/2015","Nova Scotia","2016A000212","Total, school type","Regular programs for youth","Number","223","units","0","v1001753185","4.1.2","123999","","","","0"
"2015/2016","Nova Scotia","2016A000212","Total, school type","Regular programs for youth","Number","223","units","0","v1001753185","4.1.2","122799","","","","0"
"2016/2017","Nova Scotia","2016A000212","Total, school type","Regular programs for youth","Number","223","units","0","v1001753185","4.1.2","123120","","","","0"
"2017/2018","Nova Scotia","2016A000212","Total, school type","Regular programs for youth","Number","223","units","0","v1001753185","4.1.2","123990","","","","0"
"2002/2003","Nova Scotia","2016A000212","Total, school type","General programs for adults","Number","223","units","0","v1077009312","4.1.3","0","","","","0"
"2003/2004","Nova Scotia","2016A000212","Total, school type","General programs for adults","Number","223","units","0","v1077009312","4.1.3","0","","","","0"
"2004/2005","Nova Scotia","2016A000212","Total, school type","General programs for adults","Number","223","units","0","v1077009312","4.1.3","0","","","","0"
"2005/2006","Nova Scotia","2016A000212","Total, school type","General programs for adults","Number","223","units","0","v1077009312","4.1.3","0","","","","0"
"2006/2007","Nova Scotia","2016A000212","Total, school type","General programs for adults","Number","223","units","0","v1077009312","4.1.3","0","","","","0"
"2007/2008","Nova Scotia","2016A000212","Total, school type","General programs for adults","Number","223","units","0","v1077009312","4.1.3","","..","","","0"
"2008/2009","Nova Scotia","2016A000212","Total, school type","General programs for adults","Number","223","units","0","v1077009312","4.1.3","","..","","","0"
"2009/2010","Nova Scotia","2016A000212","Total, school type","General programs for adults","Number","223","units","0","v1077009312","4.1.3","","..","","","0"
"2010/2011","Nova Scotia","2016A000212","Total, school type","General programs for adults","Number","223","units","0","v1077009312","4.1.3","","..","","","0"
"2011/2012","Nova Scotia","2016A000212","Total, school type","General programs for adults","Number","223","units","0","v1077009312","4.1.3","","..","","","0"
"2012/2013","Nova Scotia","2016A000212","Total, school type","General programs for adults","Number","223","units","0","v1077009312","4.1.3","","..","","","0"
"2013/2014","Nova Scotia","2016A000212","Total, school type","General programs for adults","Number","223","units","0","v1077009312","4.1.3","","..","","","0"
"2014/2015","Nova Scotia","2016A000212","Total, school type","General programs for adults","Number","223","units","0","v1077009312","4.1.3","","..","","","0"
"2015/2016","Nova Scotia","2016A000212","Total, school type","General programs for adults","Number","223","units","0","v1077009312","4.1.3","","..","","","0"
"2016/2017","Nova Scotia","2016A000212","Total, school type","General programs for adults","Number","223","units","0","v1077009312","4.1.3","","..","","","0"
"2017/2018","Nova Scotia","2016A000212","Total, school type","General programs for adults","Number","223","units","0","v1077009312","4.1.3","","..","","","0"
"2002/2003","Nova Scotia","2016A000212","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009313","4.1.4","288","","","","0"
"2003/2004","Nova Scotia","2016A000212","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009313","4.1.4","306","","","","0"
