"REF_DATE","GEO","DGUID","School type","Program type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002/2003","Northwest Territories","2016A000261","Total, school type","Total, program type","Number","223","units","0","v1001753266","13.1.1","9747","","","","0"
"2003/2004","Northwest Territories","2016A000261","Total, school type","Total, program type","Number","223","units","0","v1001753266","13.1.1","9720","","","","0"
"2004/2005","Northwest Territories","2016A000261","Total, school type","Total, program type","Number","223","units","0","v1001753266","13.1.1","9606","","","","0"
"2005/2006","Northwest Territories","2016A000261","Total, school type","Total, program type","Number","223","units","0","v1001753266","13.1.1","9570","","","","0"
"2006/2007","Northwest Territories","2016A000261","Total, school type","Total, program type","Number","223","units","0","v1001753266","13.1.1","9399","","","","0"
"2007/2008","Northwest Territories","2016A000261","Total, school type","Total, program type","Number","223","units","0","v1001753266","13.1.1","9126","","","","0"
"2008/2009","Northwest Territories","2016A000261","Total, school type","Total, program type","Number","223","units","0","v1001753266","13.1.1","8826","","","","0"
"2009/2010","Northwest Territories","2016A000261","Total, school type","Total, program type","Number","223","units","0","v1001753266","13.1.1","8634","","","","0"
"2010/2011","Northwest Territories","2016A000261","Total, school type","Total, program type","Number","223","units","0","v1001753266","13.1.1","8634","","","","0"
"2011/2012","Northwest Territories","2016A000261","Total, school type","Total, program type","Number","223","units","0","v1001753266","13.1.1","8577","","","","0"
"2012/2013","Northwest Territories","2016A000261","Total, school type","Total, program type","Number","223","units","0","v1001753266","13.1.1","8400","","","","0"
"2013/2014","Northwest Territories","2016A000261","Total, school type","Total, program type","Number","223","units","0","v1001753266","13.1.1","8205","","","","0"
"2014/2015","Northwest Territories","2016A000261","Total, school type","Total, program type","Number","223","units","0","v1001753266","13.1.1","8382","","","","0"
"2015/2016","Northwest Territories","2016A000261","Total, school type","Total, program type","Number","223","units","0","v1001753266","13.1.1","8367","","","","0"
"2016/2017","Northwest Territories","2016A000261","Total, school type","Total, program type","Number","223","units","0","v1001753266","13.1.1","8421","","","","0"
"2017/2018","Northwest Territories","2016A000261","Total, school type","Total, program type","Number","223","units","0","v1001753266","13.1.1","8802","","","","0"
"2002/2003","Northwest Territories","2016A000261","Total, school type","Regular programs for youth","Number","223","units","0","v1001753267","13.1.2","9747","","","","0"
"2003/2004","Northwest Territories","2016A000261","Total, school type","Regular programs for youth","Number","223","units","0","v1001753267","13.1.2","9717","","","","0"
"2004/2005","Northwest Territories","2016A000261","Total, school type","Regular programs for youth","Number","223","units","0","v1001753267","13.1.2","9606","","","","0"
"2005/2006","Northwest Territories","2016A000261","Total, school type","Regular programs for youth","Number","223","units","0","v1001753267","13.1.2","9573","","","","0"
"2006/2007","Northwest Territories","2016A000261","Total, school type","Regular programs for youth","Number","223","units","0","v1001753267","13.1.2","9399","","","","0"
"2007/2008","Northwest Territories","2016A000261","Total, school type","Regular programs for youth","Number","223","units","0","v1001753267","13.1.2","9129","","","","0"
"2008/2009","Northwest Territories","2016A000261","Total, school type","Regular programs for youth","Number","223","units","0","v1001753267","13.1.2","8826","","","","0"
