"REF_DATE","GEO","DGUID","School type","Program type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2003/2004","Ontario","2016A000235","Total, school type","Total, program type","Number","223","units","0","v1001753214","7.1.1","2129742","","","","0"
"2004/2005","Ontario","2016A000235","Total, school type","Total, program type","Number","223","units","0","v1001753214","7.1.1","2123904","","","","0"
"2005/2006","Ontario","2016A000235","Total, school type","Total, program type","Number","223","units","0","v1001753214","7.1.1","2118543","","","","0"
"2006/2007","Ontario","2016A000235","Total, school type","Total, program type","Number","223","units","0","v1001753214","7.1.1","2221422","","","","0"
"2007/2008","Ontario","2016A000235","Total, school type","Total, program type","Number","223","units","0","v1001753214","7.1.1","2208771","","","","0"
"2008/2009","Ontario","2016A000235","Total, school type","Total, program type","Number","223","units","0","v1001753214","7.1.1","2193381","","","","0"
"2009/2010","Ontario","2016A000235","Total, school type","Total, program type","Number","223","units","0","v1001753214","7.1.1","2177688","","","","0"
"2010/2011","Ontario","2016A000235","Total, school type","Total, program type","Number","223","units","0","v1001753214","7.1.1","2168094","","","","0"
"2011/2012","Ontario","2016A000235","Total, school type","Total, program type","Number","223","units","0","v1001753214","7.1.1","2162604","","","","0"
"2012/2013","Ontario","2016A000235","Total, school type","Total, program type","Number","223","units","0","v1001753214","7.1.1","2157126","","","","0"
"2013/2014","Ontario","2016A000235","Total, school type","Total, program type","Number","223","units","0","v1001753214","7.1.1","2146026","","","","0"
"2014/2015","Ontario","2016A000235","Total, school type","Total, program type","Number","223","units","0","v1001753214","7.1.1","2140152","","","","0"
"2015/2016","Ontario","2016A000235","Total, school type","Total, program type","Number","223","units","0","v1001753214","7.1.1","2135448","","","","0"
"2016/2017","Ontario","2016A000235","Total, school type","Total, program type","Number","223","units","0","v1001753214","7.1.1","2152479","","","","0"
"2017/2018","Ontario","2016A000235","Total, school type","Total, program type","Number","223","units","0","v1001753214","7.1.1","2174391","","","","0"
"2003/2004","Ontario","2016A000235","Total, school type","Regular programs for youth","Number","223","units","0","v1001753215","7.1.2","2129742","","","","0"
"2004/2005","Ontario","2016A000235","Total, school type","Regular programs for youth","Number","223","units","0","v1001753215","7.1.2","2123904","","","","0"
