"REF_DATE","GEO","DGUID","School type","Program type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002/2003","Prince Edward Island","2016A000211","Total, school type","Total, program type","Number","223","units","0","v1001753176","3.1.1","23241","","","","0"
"2003/2004","Prince Edward Island","2016A000211","Total, school type","Total, program type","Number","223","units","0","v1001753176","3.1.1","22905","","","","0"
"2004/2005","Prince Edward Island","2016A000211","Total, school type","Total, program type","Number","223","units","0","v1001753176","3.1.1","22392","","","","0"
"2005/2006","Prince Edward Island","2016A000211","Total, school type","Total, program type","Number","223","units","0","v1001753176","3.1.1","21948","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Total, school type","Total, program type","Number","223","units","0","v1001753176","3.1.1","21411","","","","0"
"2007/2008","Prince Edward Island","2016A000211","Total, school type","Total, program type","Number","223","units","0","v1001753176","3.1.1","21063","","","","0"
"2008/2009","Prince Edward Island","2016A000211","Total, school type","Total, program type","Number","223","units","0","v1001753176","3.1.1","20595","","","","0"
"2009/2010","Prince Edward Island","2016A000211","Total, school type","Total, program type","Number","223","units","0","v1001753176","3.1.1","20202","","","","0"
"2010/2011","Prince Edward Island","2016A000211","Total, school type","Total, program type","Number","223","units","0","v1001753176","3.1.1","21432","","","","0"
"2011/2012","Prince Edward Island","2016A000211","Total, school type","Total, program type","Number","223","units","0","v1001753176","3.1.1","21120","","","","0"
"2012/2013","Prince Edward Island","2016A000211","Total, school type","Total, program type","Number","223","units","0","v1001753176","3.1.1","20700","","","","0"
"2013/2014","Prince Edward Island","2016A000211","Total, school type","Total, program type","Number","223","units","0","v1001753176","3.1.1","20427","","","","0"
"2014/2015","Prince Edward Island","2016A000211","Total, school type","Total, program type","Number","223","units","0","v1001753176","3.1.1","20256","","","","0"
"2015/2016","Prince Edward Island","2016A000211","Total, school type","Total, program type","Number","223","units","0","v1001753176","3.1.1","20073","","","","0"
"2016/2017","Prince Edward Island","2016A000211","Total, school type","Total, program type","Number","223","units","0","v1001753176","3.1.1","20475","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Total, school type","Total, program type","Number","223","units","0","v1001753176","3.1.1","20691","","","","0"
"2002/2003","Prince Edward Island","2016A000211","Total, school type","Regular programs for youth","Number","223","units","0","v1001753177","3.1.2","23241","","","","0"
"2003/2004","Prince Edward Island","2016A000211","Total, school type","Regular programs for youth","Number","223","units","0","v1001753177","3.1.2","22905","","","","0"
"2004/2005","Prince Edward Island","2016A000211","Total, school type","Regular programs for youth","Number","223","units","0","v1001753177","3.1.2","22395","","","","0"
"2005/2006","Prince Edward Island","2016A000211","Total, school type","Regular programs for youth","Number","223","units","0","v1001753177","3.1.2","21948","","","","0"
