"REF_DATE","GEO","DGUID","School type","Program type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002/2003","Quebec","2016A000224","Total, school type","Total, program type","Number","223","units","0","v1001753200","6.1.1","1244943","","","","0"
"2003/2004","Quebec","2016A000224","Total, school type","Total, program type","Number","223","units","0","v1001753200","6.1.1","1240821","","","","0"
"2004/2005","Quebec","2016A000224","Total, school type","Total, program type","Number","223","units","0","v1001753200","6.1.1","1232664","","","","0"
"2005/2006","Quebec","2016A000224","Total, school type","Total, program type","Number","223","units","0","v1001753200","6.1.1","1062324","","","","0"
"2006/2007","Quebec","2016A000224","Total, school type","Total, program type","Number","223","units","0","v1001753200","6.1.1","1175469","","","","0"
"2007/2008","Quebec","2016A000224","Total, school type","Total, program type","Number","223","units","0","v1001753200","6.1.1","1320495","","","","0"
"2008/2009","Quebec","2016A000224","Total, school type","Total, program type","Number","223","units","0","v1001753200","6.1.1","1319697","","","","0"
"2009/2010","Quebec","2016A000224","Total, school type","Total, program type","Number","223","units","0","v1001753200","6.1.1","1322439","","","","0"
"2010/2011","Quebec","2016A000224","Total, school type","Total, program type","Number","223","units","0","v1001753200","6.1.1","1313169","","","","0"
"2011/2012","Quebec","2016A000224","Total, school type","Total, program type","Number","223","units","0","v1001753200","6.1.1","1305009","","","","0"
"2012/2013","Quebec","2016A000224","Total, school type","Total, program type","Number","223","units","0","v1001753200","6.1.1","1308171","","","","0"
"2013/2014","Quebec","2016A000224","Total, school type","Total, program type","Number","223","units","0","v1001753200","6.1.1","1313754","","","","0"
"2014/2015","Quebec","2016A000224","Total, school type","Total, program type","Number","223","units","0","v1001753200","6.1.1","1316289","","","","0"
"2015/2016","Quebec","2016A000224","Total, school type","Total, program type","Number","223","units","0","v1001753200","6.1.1","1325913","","","","0"
"2016/2017","Quebec","2016A000224","Total, school type","Total, program type","Number","223","units","0","v1001753200","6.1.1","1341285","","","","0"
"2017/2018","Quebec","2016A000224","Total, school type","Total, program type","Number","223","units","0","v1001753200","6.1.1","1349298","","","","0"
"2002/2003","Quebec","2016A000224","Total, school type","Regular programs for youth","Number","223","units","0","v1001753201","6.1.2","994971","","","","0"
"2003/2004","Quebec","2016A000224","Total, school type","Regular programs for youth","Number","223","units","0","v1001753201","6.1.2","983712","","","","0"
"2004/2005","Quebec","2016A000224","Total, school type","Regular programs for youth","Number","223","units","0","v1001753201","6.1.2","971937","","","","0"
"2005/2006","Quebec","2016A000224","Total, school type","Regular programs for youth","Number","223","units","0","v1001753201","6.1.2","957603","","","","0"
"2006/2007","Quebec","2016A000224","Total, school type","Regular programs for youth","Number","223","units","0","v1001753201","6.1.2","1064667","","","","0"
"2007/2008","Quebec","2016A000224","Total, school type","Regular programs for youth","Number","223","units","0","v1001753201","6.1.2","1044321","","","","0"
"2008/2009","Quebec","2016A000224","Total, school type","Regular programs for youth","Number","223","units","0","v1001753201","6.1.2","1023645","","","","0"
"2009/2010","Quebec","2016A000224","Total, school type","Regular programs for youth","Number","223","units","0","v1001753201","6.1.2","1006785","","","","0"
"2010/2011","Quebec","2016A000224","Total, school type","Regular programs for youth","Number","223","units","0","v1001753201","6.1.2","996519","","","","0"
"2011/2012","Quebec","2016A000224","Total, school type","Regular programs for youth","Number","223","units","0","v1001753201","6.1.2","991470","","","","0"
"2012/2013","Quebec","2016A000224","Total, school type","Regular programs for youth","Number","223","units","0","v1001753201","6.1.2","989886","","","","0"
"2013/2014","Quebec","2016A000224","Total, school type","Regular programs for youth","Number","223","units","0","v1001753201","6.1.2","994455","","","","0"
"2014/2015","Quebec","2016A000224","Total, school type","Regular programs for youth","Number","223","units","0","v1001753201","6.1.2","1003119","","","","0"
"2015/2016","Quebec","2016A000224","Total, school type","Regular programs for youth","Number","223","units","0","v1001753201","6.1.2","1015254","","","","0"
"2016/2017","Quebec","2016A000224","Total, school type","Regular programs for youth","Number","223","units","0","v1001753201","6.1.2","1033164","","","","0"
"2017/2018","Quebec","2016A000224","Total, school type","Regular programs for youth","Number","223","units","0","v1001753201","6.1.2","1052802","","","","0"
"2002/2003","Quebec","2016A000224","Total, school type","General programs for adults","Number","223","units","0","v1001753202","6.1.3","153942","","","","0"
"2003/2004","Quebec","2016A000224","Total, school type","General programs for adults","Number","223","units","0","v1001753202","6.1.3","157839","","","","0"
"2004/2005","Quebec","2016A000224","Total, school type","General programs for adults","Number","223","units","0","v1001753202","6.1.3","158103","","","","0"
"2005/2006","Quebec","2016A000224","Total, school type","General programs for adults","Number","223","units","0","v1001753202","6.1.3","46161","","","","0"
"2006/2007","Quebec","2016A000224","Total, school type","General programs for adults","Number","223","units","0","v1001753202","6.1.3","46263","","","","0"
"2007/2008","Quebec","2016A000224","Total, school type","General programs for adults","Number","223","units","0","v1001753202","6.1.3","167916","","","","0"
"2008/2009","Quebec","2016A000224","Total, school type","General programs for adults","Number","223","units","0","v1001753202","6.1.3","184407","","","","0"
"2009/2010","Quebec","2016A000224","Total, school type","General programs for adults","Number","223","units","0","v1001753202","6.1.3","198222","","","","0"
"2010/2011","Quebec","2016A000224","Total, school type","General programs for adults","Number","223","units","0","v1001753202","6.1.3","197112","","","","0"
"2011/2012","Quebec","2016A000224","Total, school type","General programs for adults","Number","223","units","0","v1001753202","6.1.3","191364","","","","0"
