"REF_DATE","GEO","DGUID","School type","Program type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002/2003","Saskatchewan","2016A000247","Total, school type","Total, program type","Number","223","units","0","v1001753230","9.1.1","184605","","","","0"
"2003/2004","Saskatchewan","2016A000247","Total, school type","Total, program type","Number","223","units","0","v1001753230","9.1.1","182130","","","","0"
"2004/2005","Saskatchewan","2016A000247","Total, school type","Total, program type","Number","223","units","0","v1001753230","9.1.1","178710","","","","0"
"2005/2006","Saskatchewan","2016A000247","Total, school type","Total, program type","Number","223","units","0","v1001753230","9.1.1","175587","","","","0"
"2006/2007","Saskatchewan","2016A000247","Total, school type","Total, program type","Number","223","units","0","v1001753230","9.1.1","169713","","","","0"
"2007/2008","Saskatchewan","2016A000247","Total, school type","Total, program type","Number","223","units","0","v1001753230","9.1.1","171189","","","","0"
"2008/2009","Saskatchewan","2016A000247","Total, school type","Total, program type","Number","223","units","0","v1001753230","9.1.1","170526","","","","0"
"2009/2010","Saskatchewan","2016A000247","Total, school type","Total, program type","Number","223","units","0","v1001753230","9.1.1","171810","","","","0"
"2010/2011","Saskatchewan","2016A000247","Total, school type","Total, program type","Number","223","units","0","v1001753230","9.1.1","171078","","","","0"
"2011/2012","Saskatchewan","2016A000247","Total, school type","Total, program type","Number","223","units","0","v1001753230","9.1.1","172551","","","","0"
"2012/2013","Saskatchewan","2016A000247","Total, school type","Total, program type","Number","223","units","0","v1001753230","9.1.1","176085","","","","0"
"2013/2014","Saskatchewan","2016A000247","Total, school type","Total, program type","Number","223","units","0","v1001753230","9.1.1","178479","","","","0"
"2014/2015","Saskatchewan","2016A000247","Total, school type","Total, program type","Number","223","units","0","v1001753230","9.1.1","181545","","","","0"
"2015/2016","Saskatchewan","2016A000247","Total, school type","Total, program type","Number","223","units","0","v1001753230","9.1.1","183894","","","","0"
"2016/2017","Saskatchewan","2016A000247","Total, school type","Total, program type","Number","223","units","0","v1001753230","9.1.1","187536","","","","0"
"2017/2018","Saskatchewan","2016A000247","Total, school type","Total, program type","Number","223","units","0","v1001753230","9.1.1","189999","","","","0"
"2002/2003","Saskatchewan","2016A000247","Total, school type","Regular programs for youth","Number","223","units","0","v1001753231","9.1.2","182553","","","","0"
"2003/2004","Saskatchewan","2016A000247","Total, school type","Regular programs for youth","Number","223","units","0","v1001753231","9.1.2","179883","","","","0"
"2004/2005","Saskatchewan","2016A000247","Total, school type","Regular programs for youth","Number","223","units","0","v1001753231","9.1.2","176118","","","","0"
"2005/2006","Saskatchewan","2016A000247","Total, school type","Regular programs for youth","Number","223","units","0","v1001753231","9.1.2","172833","","","","0"
"2006/2007","Saskatchewan","2016A000247","Total, school type","Regular programs for youth","Number","223","units","0","v1001753231","9.1.2","166722","","","","0"
