"REF_DATE","GEO","DGUID","School type","Program type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002/2003","Yukon","2016A000260","Total, school type","Total, program type","Number","223","units","0","v1001753260","12.1.1","5610","","","","0"
"2003/2004","Yukon","2016A000260","Total, school type","Total, program type","Number","223","units","0","v1001753260","12.1.1","5520","","","","0"
"2004/2005","Yukon","2016A000260","Total, school type","Total, program type","Number","223","units","0","v1001753260","12.1.1","5460","","","","0"
"2005/2006","Yukon","2016A000260","Total, school type","Total, program type","Number","223","units","0","v1001753260","12.1.1","5334","","","","0"
"2006/2007","Yukon","2016A000260","Total, school type","Total, program type","Number","223","units","0","v1001753260","12.1.1","5229","","","","0"
"2007/2008","Yukon","2016A000260","Total, school type","Total, program type","Number","223","units","0","v1001753260","12.1.1","5226","","","","0"
"2008/2009","Yukon","2016A000260","Total, school type","Total, program type","Number","223","units","0","v1001753260","12.1.1","5004","","","","0"
"2009/2010","Yukon","2016A000260","Total, school type","Total, program type","Number","223","units","0","v1001753260","12.1.1","5010","","","","0"
"2010/2011","Yukon","2016A000260","Total, school type","Total, program type","Number","223","units","0","v1001753260","12.1.1","5148","","","","0"
"2011/2012","Yukon","2016A000260","Total, school type","Total, program type","Number","223","units","0","v1001753260","12.1.1","5133","","","","0"
"2012/2013","Yukon","2016A000260","Total, school type","Total, program type","Number","223","units","0","v1001753260","12.1.1","5151","","","","0"
"2013/2014","Yukon","2016A000260","Total, school type","Total, program type","Number","223","units","0","v1001753260","12.1.1","5292","","","","0"
"2014/2015","Yukon","2016A000260","Total, school type","Total, program type","Number","223","units","0","v1001753260","12.1.1","5331","","","","0"
"2015/2016","Yukon","2016A000260","Total, school type","Total, program type","Number","223","units","0","v1001753260","12.1.1","5334","","","","0"
"2016/2017","Yukon","2016A000260","Total, school type","Total, program type","Number","223","units","0","v1001753260","12.1.1","5496","","","","0"
"2017/2018","Yukon","2016A000260","Total, school type","Total, program type","Number","223","units","0","v1001753260","12.1.1","5556","","","","0"
"2002/2003","Yukon","2016A000260","Total, school type","Regular programs for youth","Number","223","units","0","v1001753261","12.1.2","5610","","","","0"
"2003/2004","Yukon","2016A000260","Total, school type","Regular programs for youth","Number","223","units","0","v1001753261","12.1.2","5520","","","","0"
"2004/2005","Yukon","2016A000260","Total, school type","Regular programs for youth","Number","223","units","0","v1001753261","12.1.2","5460","","","","0"
"2005/2006","Yukon","2016A000260","Total, school type","Regular programs for youth","Number","223","units","0","v1001753261","12.1.2","5337","","","","0"
"2006/2007","Yukon","2016A000260","Total, school type","Regular programs for youth","Number","223","units","0","v1001753261","12.1.2","5226","","","","0"
"2007/2008","Yukon","2016A000260","Total, school type","Regular programs for youth","Number","223","units","0","v1001753261","12.1.2","5226","","","","0"
"2008/2009","Yukon","2016A000260","Total, school type","Regular programs for youth","Number","223","units","0","v1001753261","12.1.2","5004","","","","0"
"2009/2010","Yukon","2016A000260","Total, school type","Regular programs for youth","Number","223","units","0","v1001753261","12.1.2","5010","","","","0"
"2010/2011","Yukon","2016A000260","Total, school type","Regular programs for youth","Number","223","units","0","v1001753261","12.1.2","5148","","","","0"
"2011/2012","Yukon","2016A000260","Total, school type","Regular programs for youth","Number","223","units","0","v1001753261","12.1.2","5133","","","","0"
"2012/2013","Yukon","2016A000260","Total, school type","Regular programs for youth","Number","223","units","0","v1001753261","12.1.2","5151","","","","0"
"2013/2014","Yukon","2016A000260","Total, school type","Regular programs for youth","Number","223","units","0","v1001753261","12.1.2","5295","","","","0"
"2014/2015","Yukon","2016A000260","Total, school type","Regular programs for youth","Number","223","units","0","v1001753261","12.1.2","5331","","","","0"
"2015/2016","Yukon","2016A000260","Total, school type","Regular programs for youth","Number","223","units","0","v1001753261","12.1.2","5334","","","","0"
"2016/2017","Yukon","2016A000260","Total, school type","Regular programs for youth","Number","223","units","0","v1001753261","12.1.2","5496","","","","0"
"2017/2018","Yukon","2016A000260","Total, school type","Regular programs for youth","Number","223","units","0","v1001753261","12.1.2","5559","","","","0"
"2002/2003","Yukon","2016A000260","Total, school type","General programs for adults","Number","223","units","0","v1077009364","12.1.3","0","","","","0"
"2003/2004","Yukon","2016A000260","Total, school type","General programs for adults","Number","223","units","0","v1077009364","12.1.3","0","","","","0"
"2004/2005","Yukon","2016A000260","Total, school type","General programs for adults","Number","223","units","0","v1077009364","12.1.3","0","","","","0"
"2005/2006","Yukon","2016A000260","Total, school type","General programs for adults","Number","223","units","0","v1077009364","12.1.3","0","","","","0"
"2006/2007","Yukon","2016A000260","Total, school type","General programs for adults","Number","223","units","0","v1077009364","12.1.3","0","","","","0"
"2007/2008","Yukon","2016A000260","Total, school type","General programs for adults","Number","223","units","0","v1077009364","12.1.3","0","","","","0"
"2008/2009","Yukon","2016A000260","Total, school type","General programs for adults","Number","223","units","0","v1077009364","12.1.3","","..","","","0"
"2009/2010","Yukon","2016A000260","Total, school type","General programs for adults","Number","223","units","0","v1077009364","12.1.3","","..","","","0"
"2010/2011","Yukon","2016A000260","Total, school type","General programs for adults","Number","223","units","0","v1077009364","12.1.3","","..","","","0"
"2011/2012","Yukon","2016A000260","Total, school type","General programs for adults","Number","223","units","0","v1077009364","12.1.3","","..","","","0"
"2012/2013","Yukon","2016A000260","Total, school type","General programs for adults","Number","223","units","0","v1077009364","12.1.3","","..","","","0"
"2013/2014","Yukon","2016A000260","Total, school type","General programs for adults","Number","223","units","0","v1077009364","12.1.3","","..","","","0"
"2014/2015","Yukon","2016A000260","Total, school type","General programs for adults","Number","223","units","0","v1077009364","12.1.3","","..","","","0"
"2015/2016","Yukon","2016A000260","Total, school type","General programs for adults","Number","223","units","0","v1077009364","12.1.3","","..","","","0"
"2016/2017","Yukon","2016A000260","Total, school type","General programs for adults","Number","223","units","0","v1077009364","12.1.3","","..","","","0"
"2017/2018","Yukon","2016A000260","Total, school type","General programs for adults","Number","223","units","0","v1077009364","12.1.3","","..","","","0"
"2002/2003","Yukon","2016A000260","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009365","12.1.4","0","","","","0"
"2003/2004","Yukon","2016A000260","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009365","12.1.4","0","","","","0"
"2004/2005","Yukon","2016A000260","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009365","12.1.4","0","","","","0"
"2005/2006","Yukon","2016A000260","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009365","12.1.4","0","","","","0"
"2006/2007","Yukon","2016A000260","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009365","12.1.4","0","","","","0"
"2007/2008","Yukon","2016A000260","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009365","12.1.4","0","","","","0"
"2008/2009","Yukon","2016A000260","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009365","12.1.4","","..","","","0"
"2009/2010","Yukon","2016A000260","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009365","12.1.4","","..","","","0"
"2010/2011","Yukon","2016A000260","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009365","12.1.4","","..","","","0"
"2011/2012","Yukon","2016A000260","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009365","12.1.4","","..","","","0"
"2012/2013","Yukon","2016A000260","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009365","12.1.4","","..","","","0"
"2013/2014","Yukon","2016A000260","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009365","12.1.4","","..","","","0"
"2014/2015","Yukon","2016A000260","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009365","12.1.4","","..","","","0"
"2015/2016","Yukon","2016A000260","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009365","12.1.4","","..","","","0"
"2016/2017","Yukon","2016A000260","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009365","12.1.4","","..","","","0"
"2017/2018","Yukon","2016A000260","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009365","12.1.4","","..","","","0"
"2002/2003","Yukon","2016A000260","Public schools","Total, program type","Number","223","units","0","v1001753262","12.2.1","5610","","","","0"
"2003/2004","Yukon","2016A000260","Public schools","Total, program type","Number","223","units","0","v1001753262","12.2.1","5520","","","","0"
"2004/2005","Yukon","2016A000260","Public schools","Total, program type","Number","223","units","0","v1001753262","12.2.1","5460","","","","0"
"2005/2006","Yukon","2016A000260","Public schools","Total, program type","Number","223","units","0","v1001753262","12.2.1","5334","","","","0"
"2006/2007","Yukon","2016A000260","Public schools","Total, program type","Number","223","units","0","v1001753262","12.2.1","5229","","","","0"
"2007/2008","Yukon","2016A000260","Public schools","Total, program type","Number","223","units","0","v1001753262","12.2.1","5229","","","","0"
"2008/2009","Yukon","2016A000260","Public schools","Total, program type","Number","223","units","0","v1001753262","12.2.1","5004","","","","0"
"2009/2010","Yukon","2016A000260","Public schools","Total, program type","Number","223","units","0","v1001753262","12.2.1","5010","","","","0"
"2010/2011","Yukon","2016A000260","Public schools","Total, program type","Number","223","units","0","v1001753262","12.2.1","5085","","","","0"
"2011/2012","Yukon","2016A000260","Public schools","Total, program type","Number","223","units","0","v1001753262","12.2.1","5037","","","","0"
"2012/2013","Yukon","2016A000260","Public schools","Total, program type","Number","223","units","0","v1001753262","12.2.1","5049","","","","0"
"2013/2014","Yukon","2016A000260","Public schools","Total, program type","Number","223","units","0","v1001753262","12.2.1","5139","","","","0"
