"REF_DATE","GEO","DGUID","School type","Program type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2003/2004","Canada","2016A000011124","Total, school type","Total, program type","Number","223","units","0","v1001753153","1.1.1","5293260","","","","0"
"2004/2005","Canada","2016A000011124","Total, school type","Total, program type","Number","223","units","0","v1001753153","1.1.1","5255616","","","","0"
"2005/2006","Canada","2016A000011124","Total, school type","Total, program type","Number","223","units","0","v1001753153","1.1.1","5059860","","","","0"
"2006/2007","Canada","2016A000011124","Total, school type","Total, program type","Number","223","units","0","v1001753153","1.1.1","5380251","","","","0"
"2007/2008","Canada","2016A000011124","Total, school type","Total, program type","Number","223","units","0","v1001753153","1.1.1","5498163","","","","0"
"2008/2009","Canada","2016A000011124","Total, school type","Total, program type","Number","223","units","0","v1001753153","1.1.1","5471547","","","","0"
"2009/2010","Canada","2016A000011124","Total, school type","Total, program type","Number","223","units","0","v1001753153","1.1.1","5453247","","","","0"
"2010/2011","Canada","2016A000011124","Total, school type","Total, program type","Number","223","units","0","v1001753153","1.1.1","5459400","","","","0"
"2011/2012","Canada","2016A000011124","Total, school type","Total, program type","Number","223","units","0","v1001753153","1.1.1","5431917","","","","0"
"2012/2013","Canada","2016A000011124","Total, school type","Total, program type","Number","223","units","0","v1001753153","1.1.1","5444883","","","","0"
"2013/2014","Canada","2016A000011124","Total, school type","Total, program type","Number","223","units","0","v1001753153","1.1.1","5454675","","","","0"
"2014/2015","Canada","2016A000011124","Total, school type","Total, program type","Number","223","units","0","v1001753153","1.1.1","5470734","","","","0"
"2015/2016","Canada","2016A000011124","Total, school type","Total, program type","Number","223","units","0","v1001753153","1.1.1","5493732","","","","0"
"2016/2017","Canada","2016A000011124","Total, school type","Total, program type","Number","223","units","0","v1001753153","1.1.1","5552091","","","","0"
"2017/2018","Canada","2016A000011124","Total, school type","Total, program type","Number","223","units","0","v1001753153","1.1.1","5609523","","","","0"
"2003/2004","Canada","2016A000011124","Total, school type","Regular programs for youth","Number","223","units","0","v1001753154","1.1.2","5016075","","","","0"
